id,date,description,counterparty,account,debit,credit,category,source,created_at
248,2026-03-15,Payment received from Waseem resin,Waseem resin,Bank,300000.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
249,2026-03-15,Payment received from Waseem resin,Waseem resin,Bank,470000.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
250,2026-03-15,Sold Plastic IBCs 1000L to HTG Chor,HTG Chor,Bank,0.0,991200.0,Sales - IBC Tanks,xlsm,2026-04-21 07:01:25
251,2026-03-16,Payment received from Waseem resin,Waseem resin,Bank,80000.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
252,2026-03-16,Payment received from Waseem resin,Waseem resin,Bank,170000.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
253,2026-03-16,Payment received from Waseem resin,Waseem resin,Bank,28000.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
254,2026-03-16,Payment received from Waseem resin,Waseem resin,Bank,262000.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
255,2026-03-17,Sold Plastic IBCs 1000L to HTG Chor,HTG Chor,Bank,0.0,991200.0,Sales - IBC Tanks,xlsm,2026-04-21 07:01:25
256,2026-03-17,Payment received from Waseem resin,Waseem resin,Bank,300000.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
257,2026-03-17,"Sold Steel drum 200L - with lacquer - once used, inside and outside clean  to Waseem resin",Waseem resin,Bank,0.0,738375.0,Sales - Steel Drums,xlsm,2026-04-21 07:01:25
258,2026-03-17,Payment received from Naveed Resin (Waseem),Naveed Resin (Waseem),Bank,100000.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
259,2026-03-17,Sold Plastic drum C/M 200L  to Sika Pakistan,Sika Pakistan,Bank,0.0,212400.0,Sales - Plastic Drums,xlsm,2026-04-21 07:01:25
260,2026-03-17,Sold Plastic drum C/M 200L  to Sika Pakistan,Sika Pakistan,Bank,0.0,42480.0,Sales - Plastic Drums,xlsm,2026-04-21 07:01:25
261,2026-03-18,Payment received from Anjum Chemical- Pak petro,Anjum Chemical- Pak petro,Bank,9567558.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
262,2026-03-18,Payment received from Anjum Chemical- Pak petro,Anjum Chemical- Pak petro,Bank,3995244.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
263,2026-03-19,Sold Plastic IBCs 1000L to Sika Pakistan,Sika Pakistan,Bank,0.0,531000.0,Sales - IBC Tanks,xlsm,2026-04-21 07:01:25
264,2026-03-19,Payment received from Polymer international,Polymer international,Bank,1489455.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
265,2026-03-19,Payment received from Polymer international,Polymer international,Bank,870309.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
266,2026-03-19,Payment received from Polymer international,Polymer international,Bank,1121471.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
267,2026-03-19,"Sold Steel drum 200L - without lacquer - once used, inside and outside clean  to Anjum Chemical- Pak petro",Anjum Chemical- Pak petro,Bank,0.0,672600.0,Sales - Steel Drums,xlsm,2026-04-21 07:01:25
268,2026-03-26,"Sold Steel drum 200L - without lacquer - once used, inside and outside clean  to Anjum Chemical- Pak petro",Anjum Chemical- Pak petro,Bank,0.0,672600.0,Sales - Steel Drums,xlsm,2026-04-21 07:01:25
269,2026-03-26,Sold Plastic drum C/M 200L  to Sika Pakistan,Sika Pakistan,Bank,0.0,212400.0,Sales - Plastic Drums,xlsm,2026-04-21 07:01:25
270,2026-03-26,Payment received from Waseem resin,Waseem resin,Bank,248000.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
271,2026-03-27,Sold Plastic drum O/M 120L  to Polymer international,Polymer international,Bank,0.0,576725.0,Sales - Plastic Drums,xlsm,2026-04-21 07:01:25
272,2026-03-28,Sold Plastic IBCs 1000L to Sika Pakistan,Sika Pakistan,Bank,0.0,531000.0,Sales - IBC Tanks,xlsm,2026-04-21 07:01:25
273,2026-03-30,Purchase Steel drum 200L - damage/cutting/cracked lacquer from Khalid plastic,Khalid plastic,Bank,9600.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
274,2026-03-30,Purchase Plastic IBCs 1000L from Khalid plastic,Khalid plastic,Bank,175000.0,0.0,Purchases - IBC Tanks,xlsm,2026-04-21 07:01:25
275,2026-03-30,Purchase Steel drum 200L - rusty  from Khalid plastic,Khalid plastic,Bank,57200.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
276,2026-03-30,Purchase Plastic drum O/M 120L  from Khalid plastic,Khalid plastic,Bank,165390.0,0.0,Purchases - Plastic Drums,xlsm,2026-04-21 07:01:25
277,2026-03-30,Payment received from HTG Chor,HTG Chor,Bank,690300.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
278,2026-03-30,Purchase Plastic drum O/M 120L  from Khalid plastic,Khalid plastic,Bank,283100.0,0.0,Purchases - Plastic Drums,xlsm,2026-04-21 07:01:25
279,2026-03-30,Purchase Plastic IBCs 1000L from Khalid plastic,Khalid plastic,Bank,100000.0,0.0,Purchases - IBC Tanks,xlsm,2026-04-21 07:01:25
280,2026-03-30,Sold Plastic drum C/M 200L  to Sika Pakistan,Sika Pakistan,Bank,0.0,169920.0,Sales - Plastic Drums,xlsm,2026-04-21 07:01:25
281,2026-03-30,"Purchase Steel drum 200L - without lacquer - once used, inside and outside clean  from Khalid plastic",Khalid plastic,Bank,57600.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
282,2026-03-30,"Purchase Steel drum 200L - with lacquer - once used, inside and outside clean  from Khalid plastic",Khalid plastic,Bank,17250.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
283,2026-03-30,Payment to Khalid plastic,Khalid plastic,Bank,0.0,636300.0,Accounts Payable Payment,xlsm,2026-04-21 07:01:25
284,2026-03-31,Sold Plastic IBCs 1000L to HTG Chor,HTG Chor,Bank,0.0,165200.0,Sales - IBC Tanks,xlsm,2026-04-21 07:01:25
285,2026-03-31,Sold Plastic IBCs 1000L to Scada,Scada,Bank,0.0,531000.0,Sales - IBC Tanks,xlsm,2026-04-21 07:01:25
286,2026-04-01,Payment received from Waseem resin,Waseem resin,Bank,400000.0,0.0,Customer Payment Received,xlsm,2026-04-21 07:01:25
287,2026-04-01,"Sold Steel drum 200L - with lacquer - once used, inside and outside clean  to Waseem resin",Waseem resin,Bank,0.0,738375.0,Sales - Steel Drums,xlsm,2026-04-21 07:01:25
288,2026-04-01,"Sold Steel drum 200L - with lacquer - once used, inside and outside clean  to Waseem resin",Waseem resin,Bank,0.0,-281925.0,Sales - Steel Drums,xlsm,2026-04-21 07:01:25
289,2026-04-04,Purchase Plastic drum O/M 120L  from Khalid plastic,Khalid plastic,Bank,283100.0,0.0,Purchases - Plastic Drums,xlsm,2026-04-21 07:01:25
290,2026-04-04,Purchase Plastic IBCs 1000L from Khalid plastic,Khalid plastic,Bank,-162500.0,0.0,Purchases - IBC Tanks,xlsm,2026-04-21 07:01:25
291,2026-04-04,"Purchase Steel drum 200L - without lacquer - once used, inside and outside clean  from Khalid plastic",Khalid plastic,Bank,18000.0,0.0,Purchases - Steel Drums,xlsm,2026-04-21 07:01:25
